,likes_count,comments_count,common_friends_count,is_friend
5590,3,0,1,0
260,1,0,0,1
2739,1,0,0,1
6460,1,0,0,1
3480,2,0,0,1
3141,3,0,1,0
4794,3,0,3,0
1074,1,0,0,1
1013,2,0,0,0
1767,2,0,1,0
837,1,0,0,1
4884,1,0,0,1
1512,3,0,1,0
2980,1,0,3,0
3725,7,0,1,0
1491,1,0,3,0
5650,2,0,1,0
4079,2,0,0,0
2057,1,0,1,0
6956,5,0,0,1
1996,1,0,0,0
6165,1,0,0,1
5008,2,0,0,1
4741,3,0,1,0
4766,2,0,0,0
1354,2,0,0,0
2792,2,0,0,1
5925,1,0,1,0
1231,6,0,0,1
6335,1,0,2,0
584,1,0,0,0
2971,2,0,0,0
4186,1,0,1,0
4868,1,0,1,0
2204,1,0,1,0
6700,3,0,0,1
1587,1,0,2,0
6954,1,0,0,1
4988,2,0,0,0
3944,6,0,0,1
2245,1,0,1,0
5951,1,0,0,1
4974,1,1,2,0
5045,1,0,1,0
4520,1,0,0,0
1726,1,0,2,0
4402,1,0,2,0
3331,1,0,0,0
1217,2,0,0,1
1012,1,1,1,0
2691,1,0,0,1
4921,1,0,0,0
5938,2,0,0,1
5117,2,0,1,0
5492,1,0,0,1
1768,1,0,0,0
2821,2,0,0,1
398,1,0,0,0
3834,2,0,0,1
71,1,0,2,0
6013,6,3,1,0
369,1,0,0,1
1627,8,0,2,0
6687,3,0,0,0
4944,1,0,0,1
6415,1,0,0,1
4234,1,0,2,0
335,1,0,1,1
86,1,0,0,1
532,1,0,1,0
780,1,0,0,1
2943,2,0,0,0
6617,8,0,0,1
1861,1,0,1,0
6444,1,0,0,0
5234,1,0,0,0
2292,2,0,1,0
4145,3,0,0,1
6430,3,0,1,0
3165,5,0,1,0
7002,1,0,0,1
6397,1,0,1,0
4849,5,0,0,0
6493,5,0,0,1
6167,1,0,0,1
5368,2,0,1,0
3697,1,0,1,0
4027,1,0,0,0
2266,1,0,0,0
4771,7,0,1,0
6934,9,1,4,0
3180,5,0,0,0
1785,2,0,1,0
128,1,0,3,0
1921,1,0,0,1
5386,2,0,0,0
5890,4,3,2,0
6367,8,0,0,1
2712,1,0,0,1
5076,2,0,0,1
4558,1,0,2,0
2227,2,0,2,0
6783,1,0,2,0
5490,1,0,0,1
979,1,0,0,1
4900,1,0,1,0
6903,3,0,0,0
3326,4,0,1,0
4774,2,0,1,0
6301,2,0,0,0
4999,1,0,1,0
1244,6,0,0,1
6953,2,0,0,1
2569,1,0,1,0
6410,3,0,0,0
4998,3,0,0,0
3137,1,0,1,0
1531,1,0,2,0
1660,1,0,0,1
4357,1,0,0,1
425,6,0,0,1
1005,1,0,0,0
273,2,0,0,0
4689,1,0,1,0
3729,1,0,0,0
733,1,0,0,1
1787,1,0,2,0
4121,2,0,0,1
1631,1,0,1,0
413,1,0,2,0
4909,2,0,0,0
4882,3,0,0,0
2270,1,0,0,0
5333,1,0,0,1
1623,1,0,1,0
6330,4,0,1,0
1027,3,0,0,1
3905,1,0,1,0
982,1,0,1,0
2420,6,0,0,1
5939,1,0,0,1
3444,1,0,1,0
4320,1,0,2,0
5419,1,0,0,0
6260,1,0,0,0
1049,3,0,0,1
3551,1,0,0,1
2911,1,0,0,0
6599,1,0,0,1
1396,2,0,0,1
4565,2,0,0,1
543,1,0,0,0
399,1,0,0,1
6761,2,2,1,0
1828,3,0,1,0
1110,1,0,0,1
4539,1,0,0,0
2098,1,0,0,0
1422,2,0,1,0
1497,1,0,1,0
1973,3,0,1,0
2605,1,0,0,0
1057,1,0,0,1
829,1,0,0,1
946,1,0,0,1
1277,3,0,1,0
1293,1,0,0,1
2029,2,0,1,0
5926,1,0,1,0
4615,4,0,1,0
1046,6,1,0,1
2089,1,0,0,1
3721,2,0,1,0
5108,2,0,1,0
2016,2,0,1,0
4951,2,0,0,0
145,1,0,1,0
200,1,0,2,0
3678,2,0,1,0
4061,1,0,176,1
2621,2,0,0,1
981,10,0,1,0
3777,8,0,1,0
6427,1,0,0,1
6862,2,0,1,0
5161,1,0,0,1
3366,2,0,0,1
6678,3,0,0,1
302,1,0,0,1
4608,4,0,0,1
1076,2,0,1,0
1468,2,0,2,0
4364,1,0,0,1
7005,7,0,1,0
2922,4,0,0,0
4690,4,0,0,0
2905,1,0,1,0
3771,10,0,2,0
2722,1,0,0,1
1125,9,0,1,1
1498,4,0,0,1
1318,1,0,0,0
